Date/Time,DOE [day],Meso label,Temp descr,Treat pCO2 [µatm],Temp [°C],Sal,pCO2 [µatm],[NO3]- + [NO2]- [µmol/l],[NH4]+ [µmol/l],TDN [µmol/l],Si(OH)4 [µmol/l],O2 [µmol/l],POC/PON [mol/mol],POC/POP,PON/POP
2014-09-19T00:00:00,17,M5,warm,1000,19.0,18.9,1479.0,0.32,0.34,0.66,7.86,0.34,6.3,21.02,2.86
2014-09-20T00:00:00,18,M5,warm,1000,19.0,18.8,,,,,,,,,
2014-09-21T00:00:00,19,M5,warm,1000,18.8,18.8,,,,,,,,,
2014-09-22T00:00:00,20,M5,warm,1000,18.9,18.9,956.0,0.58,0.4,0.98,10.62,0.29,6.48,20.39,2.7
2014-09-23T00:00:00,21,M5,warm,1000,18.8,18.9,,,,,,,,,
2014-09-24T00:00:00,22,M5,warm,1000,18.9,18.9,896.0,0.63,0.42,1.05,12.49,0.26,6.54,,
2014-09-25T00:00:00,23,M5,warm,1000,18.9,19.0,,,,,,,,,
2014-09-26T00:00:00,24,M5,warm,1000,18.8,19.1,1001.0,0.51,0.38,0.89,9.6,0.22,,,
2014-08-29T00:00:00,-4,M6,warm,3000,17.1,18.8,1004.0,0.88,0.42,1.3,12.71,0.8,8.88,21.32,2.06
2014-08-31T00:00:00,-2,M6,warm,3000,16.4,18.8,,,,,,,,,
2014-09-01T00:00:00,-1,M6,warm,3000,16.3,18.8,341.0,0.73,1.57,2.3,12.76,0.62,7.32,64.73,7.59
2014-09-02T00:00:00,0,M6,warm,3000,16.5,18.8,,,,,,,,,
2014-09-03T00:00:00,1,M6,warm,3000,18.0,18.9,580.0,0.41,0.44,0.85,8.55,0.44,5.53,83.96,13.02
2014-09-04T00:00:00,2,M6,warm,3000,18.4,18.9,589.5,,,,,,,,
2014-09-05T00:00:00,3,M6,warm,3000,18.7,18.9,5748.0,2.31,0.33,2.64,7.89,0.35,6.94,77.31,9.55
2014-09-06T00:00:00,4,M6,warm,3000,19.0,18.9,,,,,,,,,
2014-09-07T00:00:00,5,M6,warm,3000,19.2,18.9,,,,,,,,,
2014-09-08T00:00:00,6,M6,warm,3000,19.1,18.9,2848.0,1.11,0.46,1.57,9.59,0.2,7.74,52.62,6.8
2014-09-09T00:00:00,7,M6,warm,3000,19.1,18.9,,,,,,,,,
2014-09-10T00:00:00,8,M6,warm,3000,19.0,18.9,1863.0,0.3,0.39,0.69,2.62,0.32,7.53,69.67,9.25
2014-09-11T00:00:00,9,M6,warm,3000,19.0,18.9,,,,,,,,,
2014-09-12T00:00:00,10,M6,warm,3000,19.0,18.9,2226.0,0.4,0.42,0.82,3.67,0.26,7.11,64.96,7.84
2014-09-13T00:00:00,11,M6,warm,3000,19.0,19.0,,,,,,,,,
2014-09-14T00:00:00,12,M6,warm,3000,19.2,18.9,,,,,,,,,
2014-09-15T00:00:00,13,M6,warm,3000,19.2,18.9,1622.0,0.43,0.39,0.82,5.59,0.21,6.04,30.61,4.34
2014-09-16T00:00:00,14,M6,warm,3000,19.1,18.9,,,,,,,,,
2014-09-17T00:00:00,15,M6,warm,3000,19.1,18.9,1385.0,0.54,0.49,1.03,5.44,0.19,6.64,25.49,3.29
2014-09-18T00:00:00,16,M6,warm,3000,19.0,18.9,,,,,,,,,
2014-09-19T00:00:00,17,M6,warm,3000,19.0,18.9,4579.0,0.41,0.34,0.74,5.77,0.2,6.55,23.64,3.1
2014-09-20T00:00:00,18,M6,warm,3000,19.0,18.9,,,,,,,,,
2014-09-21T00:00:00,19,M6,warm,3000,19.0,18.9,,,,,,,,,
2014-09-22T00:00:00,20,M6,warm,3000,18.9,18.9,2502.0,0.63,0.34,0.98,8.86,0.16,6.59,24.82,3.23
2014-09-23T00:00:00,21,M6,warm,3000,18.9,18.9,,,,,,,,,
2014-09-24T00:00:00,22,M6,warm,3000,18.9,19.0,2280.0,0.77,0.27,1.04,10.78,0.16,6.87,25.02,3.12
2014-09-25T00:00:00,23,M6,warm,3000,18.9,18.9,,,,,,,,,
2014-09-26T00:00:00,24,M6,warm,3000,18.9,19.0,2326.0,0.56,0.38,0.94,8.46,0.13,,,
2014-08-29T00:00:00,-4,M7,cold,1000,16.6,18.8,972.0,0.96,0.35,1.31,12.15,0.8,9.57,16.74,1.5
